Hours,Minutes,Day,AvgSum,Predicted 2030 NatGas
15,30,00,21238.33,4678.616648403482
15,35,00,21310.0,4719.016575133943
15,40,00,21437.67,4791.349467712325
15,45,00,21504.0,4828.704358056575
15,50,00,21656.0,4914.910983832813
15,55,00,21857.33,5029.247131131871
16,0,00,22008.67,5115.591635902445
16,5,00,22036.33,5130.895672865643
16,10,00,22063.67,5146.017235738274
16,15,00,22280.0,5268.906856032312
16,20,00,22485.33,5385.523929463367
16,25,00,22685.0,5498.913492417645
16,30,00,22795.33,5561.358570213832
16,35,00,23102.33,5735.9510836048485
16,40,00,23346.33,5874.619010416956
16,45,00,23601.67,6019.753362813266
16,50,00,23779.67,6120.786008447467
16,55,00,23995.67,6243.487452335614
17,0,00,24249.67,6388.371926283824
17,5,00,24620.33,6599.265379065533
17,10,00,24881.0,6747.439065532726
17,15,00,25165.0,6908.916253664776
17,20,00,25418.0,7052.7162642738695
17,25,00,25612.0,7162.872614436048
17,30,00,25742.33,7236.722322892207
17,35,00,25855.33,7300.689918881499
17,40,00,25934.33,7345.269642748841
17,45,00,26014.0,7390.23142174329
17,50,00,26071.0,7422.266051884664
17,55,00,26085.67,7430.162781234205
18,0,00,26115.0,7446.933336663626
18,5,00,26099.0,7437.341064896102
18,10,00,26120.67,7449.229414976633
18,15,00,26117.67,7447.050153138092
18,20,00,26153.0,7466.727865959387
18,25,00,26112.33,7443.067982272789
18,30,00,26109.67,7441.082599155463
18,35,00,26079.67,7423.5070859259595
18,40,00,26037.33,7398.894915579254
18,45,00,26069.0,7416.485580989773
18,50,00,26018.0,7386.935205567299
18,55,00,26063.67,7412.509112439797
19,0,00,25951.67,7348.6888453105275
19,5,00,25859.33,7295.565098313893
19,10,00,25897.0,7316.577152922402
19,15,00,25864.0,7297.290945093904
19,20,00,25838.67,7282.3784131235025
19,25,00,25836.33,7280.5755040967415
19,30,00,25810.67,7265.474795720449
19,35,00,25779.67,7247.329050957946
19,40,00,25792.33,7254.079614926164
19,45,00,25770.33,7241.065953960648
19,50,00,25701.33,7201.2514109442
19,55,00,25647.0,7169.802164516839
20,0,00,25638.0,7164.715745286423
20,5,00,25585.0,7134.024906797953
20,10,00,25495.0,7082.235501588535
20,15,00,25445.67,7053.637412826167
20,20,00,25405.33,7030.16570554546
20,25,00,25377.0,7013.542478976064
20,30,00,25330.67,6986.655084812692
20,35,00,25267.33,6950.068052273016
20,40,00,25218.67,6921.8520186377555
20,45,00,25131.0,6871.391252900226
20,50,00,25041.67,6819.983902817916
20,55,00,24967.33,6777.124323415257
21,0,00,24918.67,6749.422521586115
21,5,00,24848.0,6708.65569190956
21,10,00,24814.67,6689.18130767517
21,15,00,24754.33,6654.30496973449
21,20,00,24695.0,6620.004565642139
21,25,00,24619.0,6576.1984018947005
21,30,00,24560.0,6542.086174208238
21,35,00,24515.0,6515.957187983753
21,40,00,24467.0,6488.117507160276
21,45,00,24389.67,6443.552935473948
21,50,00,24282.67,6382.069594203553
21,55,00,24213.0,6341.872996059998
22,0,00,24186.35,6326.721990272155
22,5,00,24049.35,6248.1317030118025
22,10,00,23927.68,6178.283065152322
22,15,00,23824.010000000002,6118.698594886813
22,20,00,23733.35,6066.532836865614
22,25,00,23641.010000000002,6013.409089868981
22,30,00,23546.010000000002,5958.768526994569
22,35,00,23423.010000000002,5888.161481196195
22,40,00,23310.68,5823.638805854918
22,45,00,23216.35,5769.380298107615
22,50,00,23118.68,5713.217217040097
22,55,00,22976.010000000002,5631.393716987646
23,0,00,22857.010000000002,5563.5818291273845
23,5,00,22696.010000000002,5471.305985075067
23,10,00,22660.35,5450.502961368789
23,15,00,22557.010000000002,5391.106667509173
23,20,00,22444.010000000002,5326.201937040787
23,25,00,22360.35,5278.027799750578
23,30,00,22267.35,5224.527699942164
23,35,00,22183.010000000002,5175.9658052095165
23,40,00,22071.35,5111.825184995347
23,45,00,21998.35,5069.729715846905
23,50,00,21890.35,5007.676143043513
23,55,00,21786.68,4948.091672778004
0,0,00,22272.43,5347.733106141188
0,5,00,22221.68,5318.325288601964
0,10,00,22200.68,5305.881859169447
0,15,00,22149.93,5276.474041630223
0,20,00,22074.68,5233.095551532531
0,25,00,21984.68,5181.306146323113
0,30,00,21910.43,5138.497887758422
0,35,00,21830.18,5092.268239995739
0,40,00,21744.18,5042.759760918316
0,45,00,21726.18,5032.027026084796
0,50,00,21663.93,4996.061545916087
0,55,00,21585.18,4950.6872454529
1,0,00,21508.93,4907.252755628331
1,5,00,21479.68,4890.104916048576
1,10,00,21446.93,4870.961266103328
1,15,00,21386.93,4836.278806883867
1,20,00,21339.18,4808.581683943636
1,25,00,21272.43,4770.050161876436
1,30,00,21202.18,4729.522829443738
1,35,00,21127.93,4686.714570879047
1,40,00,21111.43,4676.837183345024
1,45,00,21058.68,4646.288902739803
1,50,00,21048.18,4639.832904403773
1,55,00,21029.43,4628.6724959205
2,0,00,20970.93,4595.359615806656
2,5,00,20926.68,4569.658303231923
2,10,00,20891.93,4549.374190220677
2,15,00,20887.18,4546.197023199387
2,20,00,20852.93,4526.198025954636
2,25,00,20798.68,4494.7943980499185
2,30,00,20763.68,4474.367727155421
2,35,00,20704.68,4440.255499468958
2,40,00,20723.43,4450.478773473136
2,45,00,20673.68,4421.64118746691
2,50,00,20647.93,4406.489158252651
2,55,00,20625.43,4393.190381520635
3,0,00,20608.43,4383.542110026232
3,5,00,20632.18,4396.616541695401
3,10,00,20634.93,4397.716111171601
3,15,00,20631.18,4395.10917568331
